ID,Manx,English,
108,Cre oddys oo kionnaghey ayns Rhumsaa?,,
109,Nod oo fakin yn droghad?,,
110,Nod oo fakin Kione Vraddda?,,
111,Foddym snaue feer vie,,
112,Foddym snaue feer vie agh cha nel mee geearree snaue nish,,
113,Foddym snaue agh cha noddym snaue gollrish eeast,,
114,Foddym snaue gollrish perkin,,
115,Foddym snaue gollrish perkin as foddym loayrt boghtynid,,
116,"Noddym geddyn spollag? Cha nod, gow my leshtal ",,
117,By vie lhiat spollag? By vie,,
118,"Cre by vie lhiat gee nish? Tooilley spollagyn, my sailt",,
119,"Cre by vie lhiat giu nish? By vie lhiam ushtey, my sailt",,
120,Nod oo fakin yn Cholloo?,,
121,Ta'n cheayn beggan garroo jiu,The sea is a little rough today,
122,Ta'n cheayn beggan garroo son snaue jiu,,
123,Foddym snaue agh cha noddym snaue gollrish raun,,
124,Er-lhiam dy vel eh ro-gharroo son Gobbag Vooar,,
125,"Mish Ali, shoh my vac, Fraser "," I'm Ali, this is my son, Fraser ",
126,"Mish Jenny, shoh my inneen, Dotty ",,
127,Mish Jenny. Ta daa phaitchey aym , I'm Jenny. I have two children ,
128,Mish Ali. Ta daa vac aym , I'm Ali. I have two sons ,
129,Shoh un vuc ayns muclagh,,
130,Shoh daa vuc ayns muclagh,,
131,"Un vuc, daa vuc, tree muckyn",,
132,Vel uss cummal gollrish muc ayns muclagh? ,,
133,"Vel braar ayd? Ta, ta un vraar ayms",,
134,Vel shuyr ayd? Ta un shuyr ayms,,
135,Vel shuyr ayd?  Cha nel shuyr ayms agh ta braar ayms,,
136,"Vel braar ayd? Ta, ta daa vraar aym",,
137,"Vel shuyr ayd? Ta, ta daa huyr aym",,
138,"Vel biggin ayd? Ta, ta daa chabbyl aym as daa chayt aym",,
139,Vel biggin ayd? Ta un voddey ayms,,
140,Ta'n keyrrey Loaghtan jeeaghyn beggan danjeyragh,,
141,Shoh muc ayns muclagh,,
142,Mie lhiat ny ratchyn TT? , Do you like the TT races?,
143,Ta ny roaryn bree beggan feiyral,,
144,Cha nel oo lowit ayns shoh,,
145,Nagh vel yn twoaie jeeaghyn yindyssagh nish?,,
146,TT aboo!,Hurrah for the races,
147,S'mie lhiam ratchal , I like racing  ,
148,S'mie lhiam Mannin , I like the Isle of Man ,
149,"Fastyr mie, mish....",,
150,S'mie lhiam Syndey...Syndey aboo! ,,
151,Ta mee feer tappee , I'm very quick,
152,Shoh my roar-bree, this is my motorbike,
153,Ta mee cummal ayns Kiondroghad , I live in Onchan,
154,Shoh my roar-bree. Nagh vel eh yindyssagh?,,
155,Mannin aboo! Falkirk aboo!,,
156,Hee'm shiu , I'll see you,
157,S'mie lhiam TT ,,
158,The months of the year in Manx,,
159,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney,,
160,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney as arran,,
161,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney eeym as arran,,
162,"Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney, eeym, arran as eeast",,
163,Ta ram smook ayn , There's loads of smoke,
164,Er-lhiam dy jean yn traen goll dys Doolish nish,,
165,Ta'n traen  gimmeeaght dys Doolish nish,,
166,Ta'n traen goll dys Doolish agh ta mish goll dys yn thie-lhionney,,
167,Ren mee cheet dys Doolish er y traen jiu,,
168,"S'mie lhiam yn traen, t'eh yindyssagh ",,
169,"Ta mee goll dys Rhumsaa, cha nel mee goll er y traen, ta mee goll er y varroose",,
170,Cre share lhiat: traen ny baatey?,,
171,Jagh oo dys Crosby jea? Cha jagh,,
172,Jagh oo dys Doolish jea? Hie ,,
173,Jagh oo dys Doolish jea? Hie. ,,
174,Vaik oo Cesar jea? Honnick,,
175,Vaik oo Cesar Jesarn? Cha vaik,,
176,Vaik oo yn Moddey Doo jea ayns Purt ny h-Inshey? Honnick,,
177,Vaik oo yn Moddey Doo jea ayns Purt ny h-Inshey?,,
178,Vaik oo yn Moddey Doo ayns Purt le Moirrey jea? ,,
179,Craad hie oo jea? Hie mee dys Crosby,,
180,Cre nee oo mairagh my vees eh grianagh?,,
181,Cre nee oo ec yn jerrey shiaghtin my vees eh grianagh?,,
182,Jean oo cheet dys Rhumsaa my vees eh grianagh?,,
183,Jean oo tannaghtyn sthie my vees eh fliugh?,,
184,Ta Hall Caine oanluckit ayns shoh,,
185,Vel oo rieau er lhiah lioar Hall Caine?,,
186,Vel oo rieau er nakin ny croshyn shoh?,,
187,Quoi ren ny croshyn shoh?,,
188,Vel oo rieau er ve ayns Skylley Maghal?,,
189,Ta mee toiggal beggan Gaelg , I understand a little Manx ,
190,"Mish Juan, shoh my inneen, Charlotte...ta mee braew",,
191,Ta mee cummal ayns Croit e Caley,,
192,S'mie lhiam yn jiass,I like the south,
193,keayrt dy row,once a upon a time ,
194,S'mie lhiam goaill arrane , I like singing ,
195,S'mie lhiam goaill arrane ayns Gaelg , I like singing in Manx ,
196,T'eh yindyssagh goaill arrane ayns Gaelg ,,
197,S'mie lhiam kiaull Manninagh , I like Manx music ,
198,Nagh mie lhiat kiaull Manninagh? , Don't you like Manx music? ,
199,Shoh my viol , this is my violin ,
200,Ta mish ayns Balley Keeill Eoin cloie kiaull ,,
201,Ta Kiaull Manninagh yindyssagh , Manx music is wonderful ,
202,T'eh grianagh as cheh jiu,it's sunny and hot today ,
203,Shegin dou cloie kiaull nish , I have to play music now ,
204,She Wiggynnagh mish , I'm a Viking  ,
205,C'raad ta ny berreenyn? , Where are the cakes? ,
206,Ta mee geearree ram berreenyn , I want a lot of cakes,
207,Vel oo geearree berreen? , Do you want a cake? ,
208,Nagh vel ny berreenyn jeeaghyn yindyssagh?,,
209,"Un verreen, daa verreen, tree berreenyn ",,
210,Craad bare lhiat cummal: Yn Cholloo ny Doolish?,,
211,Craad bare lhiat cummal: Yn Cholloo ny LA?,,
212,Craad bare lhiat shappal: Yn Cholloo ny Paris?,,
213,Bee oo ayns Purt le Moirrey mairagh? S'treisht lhiam dy beeym,,
214,Bee oo ayns Rhumsaa mairagh? S'treisht lhiam nagh beeym,,
215,Er-lhiam dy bee eh braew as grianagh mairagh,,
216,S'liklee dy bee eh feayr er y twoaie mairagh,,
217,Ta mee shickyr dy bee eh grianagh ayns Purt le Moirrey Jesarn,,
218,Cre gollrish vees yn emshyr mairagh? Bee eh braew,,
219,Cre gollrish vees yn emshyr mairagh? Er-lhiams dy bee eh fliugh,What will the weather be like tomorrow? I think it will be wet,
220,"Soie sheese, my sailt "," Sit down, please",
221,"Shass seose, my sailt  "," Stand up, please",
222,"Foshil yn giat, my sailt "," Open the gate, please ",
223,"Cur yn bluckan dou, my sailt "," Give me the ball, please",
224,"Cur yn bluckan dou, my sailt (Gura mie ayd) ", ,
225,Cur yn bluckan er yn chione , Put the ball on the head ,
226,"Insh dou dty ennym, my sailt "," Tell me your name, please",
227,"Insh dou c'raad t'ou cummal, my sailt ", ,
228,Ec y scoill shoh s'mie lhien cloie Hockee ,,
229,Jeeagh er ny blaaghyn shoh , Look at these flowers,
230,"Soie sheese er y vink , my sailt "," Sit down on the bench , please",
231,"Cur dou yn gansee, my sailt "," Give me the jumper, please   ",
232,Shegin dooin goll nish , We have to go now,
233,Ta shin goll dy valley nish , We're going home now ,
234,"Soie sheese er y laare, my sailt "," sit down on the floor , please",
235,C'raad ta Louis? , Where is Louis?,
236,Hee'm shiu reesht ec y Vunscoill , See you again at the Bunscoill ,
237,"S'mie lhiam Doolish agh cha nel mee geearree cummal ayns Doolish, share lhiam Purt ny h-inshey", ,
238,Ta mee ayns Purt ny h-Inshey jiu agh va mee ayns Purt le Moirrey jea,,
239,Cha nel mee ayns Colby nish as cha row mee ayns Colby jea,,
240,Cha nel mee ayns Colby nish as cha row mee ayns Colby jea as cha beeym ayns Colby mairagh,,
241,Ta mee ayns Doolish jiu agh va mee ayns Purt le Moirrey jea,,
242,Ta mee ayns Doolish jiu agh va mee ayns Purt le Moirrey jea as beeym ayns Colby mairagh,,
243,Cha nel mee ayns Colby jiu as cha row mee ayns Colby jea as cha beeym ayns Colby mairagh,,
244,She eeasteyr mish , I'm a fisherman ,
245,S'mie lhiam gobbraghey er y cheayn ,,
246,Nod oo fakin my vaatey? She er my chooyl ayns shoh,,
247,V'eh yindyssagh er y cheayn jiu ,,
248,Ta mee my haaue nish as s'mie lhiam goll magh eeastagh,,
249,V'eh beggan rastagh er y cheayn jiu ,,
250,Mie lhiat breck ny marrey?,,
251,Cre'n sorch eeast s'mie lhiat? , what type of fish do you like?,
252,Shoh my charrey Davy , here's my friend Davy,
253,Cha nel mee ayns Colby nish ta mee ayns Purt ny h-Inshey,,
254,Ta mee ayns Purt ny h-inshey jiu as t'eh beggan feayr  ,,
255,T'eh beggan feayr agh cha nel eh ceau fliaghey ,,
256,T'eh feayr agh cha nel eh rastagh ,,
257,Cha nel eh ro-olk ayns Purt ny h-Inshey jiu,,
258,Ta mee feayr jiu agh ta mee maynrey,,
259,T'eh jeeaghyn yindyssagh ayns Purt ny h-Inshey jiu ,,
260,T'eh feayr agh chirrym jiu , It's cold but dry today,
261,T'eh feayr agh chirrym jiu as cha nel eh fliugh ,,
262,Cha nel eh ceau sniaghtey ayns Purt ny h-Inshey jiu,,
263,T'eh beggan grianagh jiu agh bodjallagh , It's a little sunny today but cloudy ,
264,Shoh skeeal mychione daa vuggane ,,
265,"Keayrt dy row, va buggane cummal dy kiune er y cheu heear jeh slieau",,
266,"Ny keayrtyn, loayr ny bugganeyn ry-cheilley trooid towl sy clieau",,
267,"Fastyr beg dy row, deam y chied vuggane trooid y towl",,
268,She ommidan uss! Deam yn nah vuggane erash,,
269,"Ny cur ommidan orryms, toot mooar as uss, er nonney bee corree ayms ort! ",,
270,Va'n buggane elley boirit syn aght cheddin as s'olk va'n cadley echey,,
271,"Deam eh trooid y towl. She blebbin uss! Dooist oo, ta'n oie goll ersooyl",,
272,"T'ou uss bolvaneagh, she'n laa ta cheet stiagh",,
273,"Lhiggey boght vock bouyran roauyr myr t'ou, deam y chied vuggane",,
274,Ren eh troggal clagh smoo as ren eh ceau shen erash,,
275,"Boght dy bollagh, she meeyl mooar almoraght uss!",,
276,Cha nel uss agh shenn ooyl ommidagh ta lane dy gheay,,
277,As t'ou uss cho fliugh as bog as lhiannag arroo ta baiht ayns bainney gyere! ,,
278,Y keayrt shoh ren en brebbal clagh vooar ass towse jus dy yannoo caghlaa,,
279,Chouds va'n laa goll shaghey,,
280,As ny faghidyn dy ve ny s'lhiurey as ny s'lhiurey,,
281,Cha ren ny claghyn bentyn rish ny bugganeyn,,
282,She brock geayshteenagh mooar-howshagh uss,,
283,Deam yn chied vuggane myr v'eh ceau clagh elley,,
284,As t'ou dty phie custart boght as breinn as moal as fud-y-cheilley jeh sluight ny baa bwee,,
285,Ren yn clagh shen smoashal fy-yerrey yn ayrn s'jerree jeh'n clieau,,
286,As son y chied cheayrt ,,
287,Haghyr shoh kiart myr va'n ghrian goll dy lhie reesht,,
288,Ouwatta! As yn chied vuggane , Ouwatta! Said the first buggane ,
289,"Yindyssagh, ren yn nah vuggane scredey ",,
290,"T'ou uss kiart, she'n laa ta goll ersooyl",,
291,Hooyl ad stiagh dys mean y vrock va jeant oc ,,
292,Va shen aitt dy liooar ren y chied vuggane giggleragh,,
293,S'bastagh mychione y clieau,,
294,Ta mee ayns Balley Chashtal. Ta cashtal ayn.,,
295,295 T'eh grianagh ec y traa ayns Balley Chashtal,,
296,Ta mee ayns Balley Chashtal agh shegin dou goll dys Colby nish,,
297,Ta mee ayns Balley Chashtal agh er-lhiam dy nhegin dou goll dys Colby nish,,
298,Cre shegin dhyt jannoo jiu? Shegin dou drappal seose Barrool,,
299,Cre shegin dhyt jannoo jiu? Shegin dou goll shappal,,
300,Ta mee ayns Balley Chashtal agh cha nel mee geearree tannaghtyn,,
301,Veign maynrey cummal ayns Balley Chashtal,,
302,Veagh eh yindyssagh cummal ayns Balley Chashtal,,
303,Veagh eh yindyssagh cummal ayns Balley Chashtal agh veagh eh ny share cummal ayns Colby,,
304,Beagh oo maynrey cummal ayns Purt Le Moirrey? Veign,,
305,Beagh oo maynrey cummal ayns Purt Le Moirrey? Cha beign ,,
306,Dy beign berchagh yinnin cummal ayns Rhumsaa,,
307,Dy beign berchagh s'liklee dy jinnin cummal ayns Rhumsaa,,
308,Craad yinnagh cummal dy beagh oo berchagh?,,
309,Jinnagh oo cummal ayns Rhumsaa dy beagh oo berchagh?,,
310,"Vel paays ort? Ta, ta paays mooar orryms",,
311,C'red t'ou geearree? , What do you want? ,
312,C'red t'ou geearree? , What do you want? ,
313,C'red t'ou geearree gee nish? , What do you want now? ,
314,Vel oo geearree jough? , Do you want a drink? ,
315,Ta'n ennym orrym Ali as s'mie lhiam berreen , My name is Ali and I like cake,
316,Shoh my verreen as s'mie lhiam berreen , This is my cake and I like cake,
317,Shoh my charrey Ali as shoh my verreen , this is my friend Ali and this is my cake,
318,C'red t'ou geearree jannoo jiu? , What do you want to do today?,
319,Row oo ayns Doolish jea? , Were you in Douglas yesterday?,
320,Va mee ayns Purt ny h-Inshey jea as ta mee ayns Purt ny h-Inshey jiu gee berreen,,
321,S'mie lhiam gee berreen ayns Purt ny h-Inshey, ,
322,S'mie lhiam loayrt Gaelg as gee berreen ayns Purt ny h-Inshey,,
323,Shoh daa Wiggynnagh cloie feeal ,,
324,S'liklee nagh jeanym shooyl er Raad ny Foillan nish ,,
325,Cha jeanym shooyl er Raad ny Foillan nish er y fa dy vel mee litcheragh ,,
326,Ta mee goll dys Rhumsaa nish er y fa dy vel mee geearree shappal,,
327,Ta mee goll dys Rhumsaa nish er y fa dy vel mee geearree gee,,
328,Ta mee goll dys Rhumsaa nish agh s'liklee dy jeanym gimman,,
329,Ta mee goll dys Rhumsaa nish agh ta mee shickyr nagh jeanym shooyl,,
330,Ta murran orrym , I have a cold,
331,Ta murran orrym agh ta mee dunnal , I have a cold but I'm brave,
332,She Manninagh mish , I'm a Manx person / I'm Manx ,
333,She Spanniagh mish , I am a Spaniard / a Southerner ,
334,She Gobbag mish , I'm a Govvag / Person from Peel ,
335,She Germaanagh mish , I'm German / German person ,
336,Cha nee toot mish , I'm not a cry baby,
337,Cha nee skeet mish , I'm not a gossip ,
338,She Gaelgeyr mish , I am a Manx speaker ,
339,Nee bleb uss ghooinney? , Are you a fool yessir? ,
340,Vel oo rieau er nakin myn-changaroo?,,
341,Vel oo rieau er nakin Buggane? , Have you ever seen a Wallaby?,
342,Cha nel mee rieau er nakin Buggane , I have never seen a Buggane ,
343,Cha nel mee rieau er nakin yn Moddey Doo as cha nel mee geearree ,I have never seen the Moddey Doo and I don't want to ,
344,Ta shin ayns keeill ayns Balley Keeill Eoin ,,
345,C'red t'ou geearree son yn Nollick? ,,
346,Ta shoh Billey y Nollick yindyssagh ,,
347,C'raad ta Jishag y Nollick? , Where is Father Christmas?,
348,S'mie lhiam carvallyn , I like carols ,
349,Vel oo goll dys yn cheeill mleeaney? ,,
350,S'mie lhiam y Nollick , I like Christmas,
351,S'mie lhiam Puddin y Nollick , I like Christmas Pudding ,
352,S'mie lhiam shoh , I like this,
353,She bochilley mish , I'm a Shepherd ,
354,S'mie lhiam cloie Gitar , I like playing Guitar,
355,Jishag y Nollick aboo! , Hurrah for Father Christmas,
356,Ta mee jeeaghyn roym lesh y Nollick mleeaney , I'm looking forward to Christmas this year ,
357,S'mie lhiam Berreen y Nollick , I like Christmas Cake ,
358,Oie vie as caddil dy mie , Good night and sleep well,
359,Nollick Ghennal as blein vie noa ,,
360,S'mie lhiam goll Shelg y Drean,,
361,Cre hooar oo voish Jishag y Nollick?,,
362,Hooar mee ram reddyn mie son y Nollick,,
363,S'mie lhiam cloie dub , I like playing pool ,
364,Cha nel mee feer vie ec dub,,
