Set,Audio_ID,Source,Description,Speaker,Gender,Duration (s)
04_Ynsaghey,4235,https://www.learnmanx.com/media/Dictionary%20-%20Animals/doo%20oallee%20-%20spider.mp3,doo oallee spider,,,1.15
04_Ynsaghey,4239,https://www.learnmanx.com/media/Dictionary%20-%20Animals/doourchoo%20-%20beaver.mp3,doourchoo beaver,,,1.02
04_Ynsaghey,4243,https://www.learnmanx.com/media/Dictionary%20-%20Animals/eayn%20-%20lamb.mp3,eayn lamb,,,0.68
04_Ynsaghey,4247,https://www.learnmanx.com/media/Dictionary%20-%20Animals/famman%20-%20tail.mp3,famman tail,,,0.84
04_Ynsaghey,4251,https://www.learnmanx.com/media/Dictionary%20-%20Animals/feeaih%20-%20deer.mp3,feeaih deer,,,0.81
04_Ynsaghey,4255,https://www.learnmanx.com/media/Dictionary%20-%20Animals/fiorag%20-%20squirrel.mp3,fiorag squirrel,,,1.02
04_Ynsaghey,4259,https://www.learnmanx.com/media/Dictionary%20-%20Animals/foillycan%20-%20butterfly.mp3,foillycan butterfly,,,1.1
04_Ynsaghey,4263,https://www.learnmanx.com/media/Dictionary%20-%20Animals/jolgane-leaghyr%20-%20lizard.mp3,jolgane-leaghyr lizard,,,1.41
04_Ynsaghey,4267,https://www.learnmanx.com/media/Dictionary%20-%20Animals/kionesnaue%20-%20tadpole.mp3,kionesnaue tadpole,,,1.36
04_Ynsaghey,4271,https://www.learnmanx.com/media/Dictionary%20-%20Animals/kyaghan%20-%20mole.mp3,kyaghan mole,,,1.25
04_Ynsaghey,4275,https://www.learnmanx.com/media/Dictionary%20-%20Animals/lheiy%20-%20calf.mp3,lheiy calf,,,0.91
04_Ynsaghey,4279,https://www.learnmanx.com/media/Dictionary%20-%20Animals/lhemeen%20-%20moth.mp3,lhemeen moth,,,1.1
04_Ynsaghey,4283,https://www.learnmanx.com/media/Dictionary%20-%20Animals/lion%20-%20lion.mp3,lion lion,,,0.97
04_Ynsaghey,4287,https://www.learnmanx.com/media/Dictionary%20-%20Animals/lion%20spottagh%20-%20leopard.mp3,lion spottagh leopard,,,1.54
04_Ynsaghey,4291,https://www.learnmanx.com/media/Dictionary%20-%20Animals/lugh%20-%20mouse.mp3,lugh mouse,,,0.63
04_Ynsaghey,4295,https://www.learnmanx.com/media/Dictionary%20-%20Animals/maaig%20-%20paw%20or%20flipper.mp3,maaig paw or flipper,,,0.94
04_Ynsaghey,4299,https://www.learnmanx.com/media/Dictionary%20-%20Animals/moddey%20oaldey%20-%20wolf.mp3,moddey oaldey wolf,,,1.65
04_Ynsaghey,4303,https://www.learnmanx.com/media/Dictionary%20-%20Animals/moddey-keyrragh%20-%20sheep%20dog.mp3,moddey-keyrragh sheep dog,,,1.52
04_Ynsaghey,4307,https://www.learnmanx.com/media/Dictionary%20-%20Animals/muc%20-%20pig.mp3,muc pig,,,0.91
04_Ynsaghey,4311,https://www.learnmanx.com/media/Dictionary%20-%20Animals/mucawin%20-%20bear.mp3,mucawin bear,,,1.04
04_Ynsaghey,4315,https://www.learnmanx.com/media/Dictionary%20-%20Animals/mucawin%20bane%20-%20polar%20bear.mp3,mucawin bane polar bear,,,1.41
04_Ynsaghey,4319,https://www.learnmanx.com/media/Dictionary%20-%20Animals/mucawin%20sheenagh%20-%20panda.mp3,mucawin sheenagh panda,,,1.46
04_Ynsaghey,4323,https://www.learnmanx.com/media/Dictionary%20-%20Animals/praddag%20-%20caterpillar.mp3,praddag caterpillar,,,0.99
04_Ynsaghey,4327,https://www.learnmanx.com/media/Dictionary%20-%20Animals/rannag%20-%20frog.mp3,rannag frog,,,0.99
04_Ynsaghey,4331,https://www.learnmanx.com/media/Dictionary%20-%20Animals/quaillag%20-%20fly.mp3,quaillag fly,,,1.12
04_Ynsaghey,4335,https://www.learnmanx.com/media/Dictionary%20-%20Animals/rannag-ghoo%20-%20toad.mp3,rannag-ghoo toad,,,1.28
04_Ynsaghey,4339,https://www.learnmanx.com/media/Dictionary%20-%20Animals/roddan%20puissagh%20-%20hampster.mp3,roddan puissagh hampster,,,1.28
04_Ynsaghey,4343,https://www.learnmanx.com/media/Dictionary%20-%20Animals/shellan%20-%20bee.mp3,shellan bee,,,1.04
04_Ynsaghey,4347,https://www.learnmanx.com/media/Dictionary%20-%20Animals/shellan%20cabbyl%20-%20wasp.mp3,shellan cabbyl wasp,,,1.52
04_Ynsaghey,4351,https://www.learnmanx.com/media/Dictionary%20-%20Animals/shynnagh%20-%20fox.mp3,shynnagh fox,,,1.04
04_Ynsaghey,4355,https://www.learnmanx.com/media/Dictionary%20-%20Animals/sniegan%20-%20ant.mp3,sniegan ant,,,1.49
04_Ynsaghey,4359,https://www.learnmanx.com/media/Dictionary%20-%20Animals/stroin%20eairkagh%20-%20rhinoceros.mp3,stroin eairkagh rhinoceros,,,1.41
04_Ynsaghey,4363,https://www.learnmanx.com/media/Dictionary%20-%20Animals/tarroo%20-%20bull.mp3,tarroo bull,,,0.81
04_Ynsaghey,4374,https://www.learnmanx.com/media/Dictionary%20-%20family/ayr%20-%20father.mp3,ayr father,,,0.78
04_Ynsaghey,4378,https://www.learnmanx.com/media/Dictionary%20-%20family/ben%20-%20woman.mp3,ben woman,,,0.63
04_Ynsaghey,4382,https://www.learnmanx.com/media/Dictionary%20-%20family/braar%20-%20brother.mp3,braar brother,,,0.89
04_Ynsaghey,4386,https://www.learnmanx.com/media/Dictionary%20-%20family/caayrphuttee%20-%20push%20chair.mp3,caayrphuttee push chair,,,1.52
04_Ynsaghey,4390,https://www.learnmanx.com/media/Dictionary%20-%20family/carbyd%20clienney%20-%20pram.mp3,carbyd clienney pram,,,1.67
04_Ynsaghey,4394,https://www.learnmanx.com/media/Dictionary%20-%20family/carrey%20-%20friend.mp3,carrey friend,,,0.68
04_Ynsaghey,4398,https://www.learnmanx.com/media/Dictionary%20-%20family/cloan%20-%20children.mp3,cloan children,,,1.12
04_Ynsaghey,4402,https://www.learnmanx.com/media/Dictionary%20-%20family/babban%20-%20baby.mp3,babban baby,,,1.12
04_Ynsaghey,4406,https://www.learnmanx.com/media/Dictionary%20-%20family/dooinney%20-%20man.mp3,dooinney man,,,0.91
04_Ynsaghey,4410,https://www.learnmanx.com/media/Dictionary%20-%20family/dooinney-poosee%20-%20bridgroom.mp3,dooinney-poosee bridgroom,,,1.18
04_Ynsaghey,4414,https://www.learnmanx.com/media/Dictionary%20-%20family/dooinney-poost%20-%20husband.mp3,dooinney-poost husband,,,1.2
04_Ynsaghey,4418,https://www.learnmanx.com/media/Dictionary%20-%20family/inneen%20-%20daughter.mp3,inneen daughter,,,1.07
04_Ynsaghey,4422,https://www.learnmanx.com/media/Dictionary%20-%20family/mac%20-%20son.mp3,mac son,,,0.63
04_Ynsaghey,4426,https://www.learnmanx.com/media/Dictionary%20-%20family/moidyn%20y%20phoosee%20-%20bridegroom.mp3,moidyn y phoosee bridegroom,,,1.28
04_Ynsaghey,4430,https://www.learnmanx.com/media/Dictionary%20-%20family/moir%20-%20mother.mp3,moir mother,,,0.81
04_Ynsaghey,4434,https://www.learnmanx.com/media/Dictionary%20-%20family/naim%20-%20uncle.mp3,naim uncle,,,0.89
04_Ynsaghey,4438,https://www.learnmanx.com/media/Dictionary%20-%20family/mwarree%20-%20grandmother.mp3,mwarree grandmother,,,1.02
04_Ynsaghey,4442,https://www.learnmanx.com/media/Dictionary%20-%20family/naunt%20-%20aunt.mp3,naunt aunt,,,0.91
04_Ynsaghey,4446,https://www.learnmanx.com/media/Dictionary%20-%20family/oikan%20-%20baby.mp3,oikan baby,,,0.81
04_Ynsaghey,4450,https://www.learnmanx.com/media/Dictionary%20-%20family/ollan%20-%20wool.mp3,ollan wool,,,0.97
04_Ynsaghey,4454,https://www.learnmanx.com/media/Dictionary%20-%20family/paitchey%20-%20child.mp3,paitchey child,,,0.89
04_Ynsaghey,4458,https://www.learnmanx.com/media/Dictionary%20-%20family/paitchyn%20-%20children.mp3,paitchyn children,,,0.89
04_Ynsaghey,4462,https://www.learnmanx.com/media/Dictionary%20-%20family/shaner%20-%20grandfather.mp3,shaner grandfather,,,0.89
04_Ynsaghey,4466,https://www.learnmanx.com/media/Dictionary%20-%20family/shuyr%20-%20sister.mp3,shuyr sister,,,0.89
04_Ynsaghey,4470,https://www.learnmanx.com/media/Dictionary%20-%20family/sleih%20-%20people.mp3,sleih people,,,1.02
04_Ynsaghey,4474,https://www.learnmanx.com/media/Dictionary%20-%20family/jishag%20-%20dad.mp3,jishag dad,,,2.72
04_Ynsaghey,4478,https://www.learnmanx.com/media/Dictionary%20-%20family/mumig%20-%20mum.mp3,mumig mum,,,2.59
04_Ynsaghey,5113,learn_manx_app_files,Kys t'ou? How are you?,,,1.38
04_Ynsaghey,6113,learn_manx_app_files,Braew Fine,,,1.2
04_Ynsaghey,6589,https://www.learnmanx.com/media/dictionary%20-%20occupations/ben-daunsin%20-%20female%20dancer.mp3,ben-daunsin female dancer,,,1.18
04_Ynsaghey,6593,https://www.learnmanx.com/media/dictionary%20-%20occupations/ben-rein%20-%20queen.mp3,ben-rein queen ,,,1.02
04_Ynsaghey,6597,https://www.learnmanx.com/media/dictionary%20-%20occupations/ben-ynsee%20-%20female%20teacher.mp3,ben-ynsee female teacher,,,1.04
04_Ynsaghey,6601,https://www.learnmanx.com/media/dictionary%20-%20occupations/boandyr%20-%20nurse.mp3,boandyr nurse,,,0.94
04_Ynsaghey,6605,https://www.learnmanx.com/media/dictionary%20-%20occupations/cloieder%20-%20actor.mp3,cloieder actor,,,1.07
04_Ynsaghey,6609,https://www.learnmanx.com/media/dictionary%20-%20occupations/coageyder%20-%20cook.mp3,coageyder cook,,,1.31
04_Ynsaghey,6613,https://www.learnmanx.com/media/dictionary%20-%20occupations/bochilley%20-%20shepherd.mp3,bochilley shepherd,,,1.04
04_Ynsaghey,6617,https://www.learnmanx.com/media/dictionary%20-%20occupations/dooinney%20spoar%20-%20spaceman.mp3,dooinney spoar spaceman,,,1.62
04_Ynsaghey,6621,https://www.learnmanx.com/media/dictionary%20-%20occupations/dooinney-aitt%20-%20clown.mp3,dooinney-aitt clown,,,1.31
04_Ynsaghey,6625,https://www.learnmanx.com/media/dictionary%20-%20occupations/eeasteyr%20-%20fisherman.mp3,eeasteyr fisherman,,,1.07
04_Ynsaghey,6629,https://www.learnmanx.com/media/dictionary%20-%20occupations/eirinagh%20-%20farmer.mp3,eirinagh farmer,,,1.04
04_Ynsaghey,6633,https://www.learnmanx.com/media/dictionary%20-%20occupations/fer%20y%20phost%20-%20postman.mp3,fer y phost postman,,,1.18
04_Ynsaghey,6637,https://www.learnmanx.com/media/dictionary%20-%20occupations/feeackleyr%20-%20dentist.mp3,feeackleyr dentist,,,1.38
04_Ynsaghey,6641,https://www.learnmanx.com/media/dictionary%20-%20occupations/fer-lhee%20-%20doctor.mp3,fer-lhee doctor,,,1.36
04_Ynsaghey,6645,https://www.learnmanx.com/media/dictionary%20-%20occupations/fer-obbee%20-%20magician.mp3,fer-obbee magician,,,0.97
04_Ynsaghey,6649,https://www.learnmanx.com/media/dictionary%20-%20occupations/freilleyder-beishtyn%20-%20zoo%20keeper.mp3,freilleyder-beishtyn zoo keeper,,,1.7
04_Ynsaghey,6653,https://www.learnmanx.com/media/dictionary%20-%20occupations/fuinneyder%20-%20baker.mp3,fuinneyder baker,,,1.1
04_Ynsaghey,6657,https://www.learnmanx.com/media/dictionary%20-%20occupations/immanagh%20-%20driver.mp3,immanagh driver,,,1.12
04_Ynsaghey,6661,https://www.learnmanx.com/media/dictionary%20-%20occupations/laue-chluickeyder%20-%20juggler.mp3,laue-chluickeyder juggler,,,1.41
04_Ynsaghey,6665,https://www.learnmanx.com/media/dictionary%20-%20occupations/meoir-shee%20-%20policeman.mp3,meoir-shee policeman,,,1.07
04_Ynsaghey,6669,https://www.learnmanx.com/media/dictionary%20-%20occupations/obbrinagh%20-%20mechanic.mp3,obbrinagh mechanic,,,1.12
04_Ynsaghey,6673,https://www.learnmanx.com/media/dictionary%20-%20occupations/peinteyr%20-%20painter.mp3,peinteyr painter,,,0.97
04_Ynsaghey,6677,https://www.learnmanx.com/media/dictionary%20-%20occupations/ratch-immanagh%20-%20racing%20driver.mp3,ratch-immanagh racing driver,,,1.33
04_Ynsaghey,6681,https://www.learnmanx.com/media/dictionary%20-%20occupations/ree%20-%20king.mp3,ree king,,,0.76
04_Ynsaghey,6685,https://www.learnmanx.com/media/dictionary%20-%20occupations/roosteyr%20-%20thief.mp3,roosteyr thief,,,0.91
04_Ynsaghey,6689,https://www.learnmanx.com/media/dictionary%20-%20occupations/seyr%20-%20joiner.mp3,seyr joiner,,,1.1
04_Ynsaghey,6693,https://www.learnmanx.com/media/dictionary%20-%20occupations/shapp%20eeastee%20-%20fishmongers.mp3,shapp eeastee fishmongers,,,1.23
04_Ynsaghey,6697,https://www.learnmanx.com/media/dictionary%20-%20occupations/shappeyder%20-%20shopkeeper.mp3,shappeyder shopkeeper,,,0.91
04_Ynsaghey,6701,https://www.learnmanx.com/media/dictionary%20-%20occupations/sidoor%20-%20solider.mp3,sidoor solider,,,1.33
04_Ynsaghey,6705,https://www.learnmanx.com/media/dictionary%20-%20occupations/skibbyltagh%20-%20acrobat.mp3,skibbyltagh acrobat,,,1.04
04_Ynsaghey,6709,https://www.learnmanx.com/media/dictionary%20-%20occupations/slaader%20-%20decorator.mp3,slaader decorator,,,0.91
04_Ynsaghey,6713,https://www.learnmanx.com/media/dictionary%20-%20occupations/spoar-troailtagh%20-spaceman.mp3,spoar-troailtagh spaceman,,,1.83
04_Ynsaghey,6717,https://www.learnmanx.com/media/dictionary%20-%20occupations/stiureyder%20-%20pilot.mp3,stiureyder pilot,,,1.1
04_Ynsaghey,6721,https://www.learnmanx.com/media/dictionary%20-%20occupations/thummeyder%20-%20diver.mp3,thummeyder diver,,,1.04
04_Ynsaghey,6725,https://www.learnmanx.com/media/dictionary%20-%20occupations/ymmyrkagh%20-%20porter.mp3,ymmyrkagh porter,,,1.2
04_Ynsaghey,6847,https://www.learnmanx.com/media/dictionary%20-%20garden/aarey%20-%20ladder.mp3,aarey ladder,,,0.99
04_Ynsaghey,6851,https://www.learnmanx.com/media/dictionary%20-%20garden/boalley%20-%20wall.mp3,boalley wall ,,,1.15
04_Ynsaghey,6855,https://www.learnmanx.com/media/dictionary%20-%20garden/brasnag%20-%20firewood.mp3,brasnag firewood ,,,1.23
04_Ynsaghey,6859,https://www.learnmanx.com/media/dictionary%20-%20garden/drillin%20-%20sparkler.mp3,drillin sparkler,,,0.84
04_Ynsaghey,6863,https://www.learnmanx.com/media/dictionary%20-%20garden/breeck%20-%20brick.mp3,breeck brick,,,1.07
04_Ynsaghey,6867,https://www.learnmanx.com/media/dictionary%20-%20garden/dulliag%20-%20leaf.mp3,dulliag leaf,,,1.1
04_Ynsaghey,6871,https://www.learnmanx.com/media/dictionary%20-%20garden/faiyr%20-%20grass.mp3,faiyr grass,,,0.99
04_Ynsaghey,6875,https://www.learnmanx.com/media/dictionary%20-%20garden/garey%20-%20garden.mp3,garey garden,,,0.73
04_Ynsaghey,6879,https://www.learnmanx.com/media/dictionary%20-%20garden/garreish%20-%20garage.mp3,garreish garage,,,1.15
04_Ynsaghey,6883,https://www.learnmanx.com/media/dictionary%20-%20garden/giareyder%20faiyr%20-%20lawnmower.mp3,giareyder faiyr lawnmower,,,1.49
04_Ynsaghey,6887,https://www.learnmanx.com/media/dictionary%20-%20garden/kibbin%20-%20peg.mp3,kibbin peg,,,0.99
04_Ynsaghey,6891,https://www.learnmanx.com/media/dictionary%20-%20garden/kiebbey%20-%20spade.mp3,kiebbey spade,,,1.23
04_Ynsaghey,6895,https://www.learnmanx.com/media/dictionary%20-%20garden/leaystane%20-%20swing.mp3,leaystane swing,,,1.28
04_Ynsaghey,6899,https://www.learnmanx.com/media/dictionary%20-%20garden/losserey%20-%20plant.mp3,losserey plant,,,1.23
04_Ynsaghey,6903,https://www.learnmanx.com/media/dictionary%20-%20garden/lossreeyn%20-%20plants.mp3,lossreeyn plants,,,1.23
04_Ynsaghey,6907,https://www.learnmanx.com/media/dictionary%20-%20garden/maidjer%20-%20stick.mp3,maidjer stick,,,1.2
04_Ynsaghey,6911,https://www.learnmanx.com/media/dictionary%20-%20garden/ooir%20-%20soil.mp3,ooir soil,,,0.89
04_Ynsaghey,6915,https://www.learnmanx.com/media/dictionary%20-%20garden/piob%20-%20pipe.mp3,piob pipe,,,1.2
04_Ynsaghey,6919,https://www.learnmanx.com/media/dictionary%20-%20garden/pioban%20-%20hose%20pipe.mp3,pioban hose pipe,,,0.99
04_Ynsaghey,6923,https://www.learnmanx.com/media/dictionary%20-%20garden/rass%20-%20seed.mp3,rass seed,,,1.23
04_Ynsaghey,6927,https://www.learnmanx.com/media/dictionary%20-%20garden/raistyl%20-%20rake.mp3,raistyl rake,,,1.07
04_Ynsaghey,6931,https://www.learnmanx.com/media/dictionary%20-%20garden/speiy%20-%20hoe.mp3,speiy hoe,,,1.07
04_Ynsaghey,6935,https://www.learnmanx.com/media/dictionary%20-%20garden/spreiyder%20-%20sprinkler.mp3,spreiyder sprinkler,,,1.12
04_Ynsaghey,6939,https://www.learnmanx.com/media/dictionary%20-%20garden/tead%20-%20rope.mp3,tead rope,,,0.78
04_Ynsaghey,6943,https://www.learnmanx.com/media/dictionary%20-%20garden/stoandey%20-%20barrel.mp3,stoandey barrel,,,1.38
04_Ynsaghey,6947,https://www.learnmanx.com/media/dictionary%20-%20garden/thammag%20-%20bush.mp3,thammag bush,,,0.97
04_Ynsaghey,6951,https://www.learnmanx.com/media/dictionary%20-%20garden/thie%20glionney%20-%20greenhouse.mp3,thie glionney greenhouse,,,1.72
04_Ynsaghey,6955,https://www.learnmanx.com/media/dictionary%20-%20garden/voalley%20-%20wall.mp3,voalley wall,,,1.2
04_Ynsaghey,6962,https://www.learnmanx.com/media/dictionary%20-%20adjectives/aalin%20-%20beautiful.mp3,aalin beautiful,,,0.84
04_Ynsaghey,6966,https://www.learnmanx.com/media/dictionary%20-%20adjectives/bog%20-%20soft.mp3,bog soft,,,0.68
04_Ynsaghey,6970,https://www.learnmanx.com/media/dictionary%20-%20adjectives/boght%20-%20poor.mp3,boght poor,,,0.99
04_Ynsaghey,6974,https://www.learnmanx.com/media/dictionary%20-%20adjectives/booiagh%20-%20pleased.mp3,booiagh pleased,,,0.89
04_Ynsaghey,6978,https://www.learnmanx.com/media/dictionary%20-%20adjectives/braew%20-%20fine.mp3,braew fine,,,0.89
04_Ynsaghey,6982,https://www.learnmanx.com/media/dictionary%20-%20adjectives/creoi%20-%20hard.mp3,creoi hard,,,0.86
04_Ynsaghey,6986,https://www.learnmanx.com/media/dictionary%20-%20adjectives/doillee%20-%20difficult.mp3,doillee difficult,,,0.97
04_Ynsaghey,6990,https://www.learnmanx.com/media/dictionary%20-%20adjectives/injil%20-%20low.mp3,injil low,,,0.97
04_Ynsaghey,6994,https://www.learnmanx.com/media/dictionary%20-%20adjectives/jesh%20-%20nice.mp3,jesh nice,,,0.63
04_Ynsaghey,6998,https://www.learnmanx.com/media/dictionary%20-%20adjectives/lane%20-%20full.mp3,lane full,,,1.02
04_Ynsaghey,7002,https://www.learnmanx.com/media/dictionary%20-%20adjectives/liauyr%20-%20long.mp3,liauyr long,,,1.04
04_Ynsaghey,7006,https://www.learnmanx.com/media/dictionary%20-%20adjectives/moal%20-%20slow.mp3,moal slow,,,0.89
04_Ynsaghey,7010,https://www.learnmanx.com/media/dictionary%20-%20adjectives/mooar%20-%20big.mp3,mooar big,,,0.91
04_Ynsaghey,7014,https://www.learnmanx.com/media/dictionary%20-%20adjectives/mooarane%20-%20many.mp3,mooarane many,,,0.99
04_Ynsaghey,7018,https://www.learnmanx.com/media/dictionary%20-%20adjectives/noa%20-%20new.mp3,noa new,,,0.91
04_Ynsaghey,7022,https://www.learnmanx.com/media/dictionary%20-%20adjectives/olk%20-%20bad.mp3,olk bad,,,0.73
04_Ynsaghey,7026,https://www.learnmanx.com/media/dictionary%20-%20adjectives/ommidjagh%20-%20foolish.mp3,ommidjagh foolish,,,0.99
04_Ynsaghey,7030,https://www.learnmanx.com/media/dictionary%20-%20adjectives/roauyr%20-%20fat.mp3,roauyr fat,,,0.84
04_Ynsaghey,7034,https://www.learnmanx.com/media/dictionary%20-%20adjectives/shenn%20-%20old.mp3,shenn old,,,0.94
04_Ynsaghey,7038,https://www.learnmanx.com/media/dictionary%20-%20adjectives/skee%20-%20tired.mp3,skee tired,,,0.94
04_Ynsaghey,7042,https://www.learnmanx.com/media/dictionary%20-%20adjectives/sollagh%20-%20dirty.mp3,sollagh dirty,,,0.81
04_Ynsaghey,7046,https://www.learnmanx.com/media/dictionary%20-%20adjectives/tappee%20-%20quick.mp3,tappee quick,,,1.1
04_Ynsaghey,7050,https://www.learnmanx.com/media/dictionary%20-%20adjectives/thanney%20-%20thin.mp3,thanney thin,,,0.68
04_Ynsaghey,7054,https://www.learnmanx.com/media/dictionary%20-%20adjectives/trimshagh%20-%20sad.mp3,trimshagh sad,,,0.86
04_Ynsaghey,7058,https://www.learnmanx.com/media/dictionary%20-%20adjectives/trome%20-%20heavy.mp3,trome heavy,,,1.07
04_Ynsaghey,7062,https://www.learnmanx.com/media/dictionary%20-%20adjectives/ymmydoil%20-%20useful.mp3,ymmydoil useful,,,1.07
04_Ynsaghey,7066,https://www.learnmanx.com/media/dictionary%20-%20adjectives/cheh%20-%20hot.mp3,çheh hot,,,0.78
04_Ynsaghey,7070,https://www.learnmanx.com/media/dictionary%20-%20adjectives/cheu-mooie%20-%20outside.mp3,çheu-mooie outside,,,0.89
04_Ynsaghey,7074,https://www.learnmanx.com/media/dictionary%20-%20adjectives/cheu-sthie%20-%20inside.mp3,çheu-sthie inside,,,1.12
04_Ynsaghey,7078,https://www.learnmanx.com/media/dictionary%20-%20adjectives/cheu-veealloo%20-%20in%20front.mp3,çheu-veealloo in front,,,1.15
04_Ynsaghey,7085,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/bastag%20-%20basket.mp3,bastag basket,,,0.89
04_Ynsaghey,7089,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/brelleein%20-%20sheet.mp3,brelleein sheet,,,1.23
04_Ynsaghey,7093,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/caayr%20-%20chair.mp3,caayr chair,,,0.57
04_Ynsaghey,7097,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/caslys%20-%20picture.mp3,caslys picture,,,1.15
04_Ynsaghey,7101,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/chiasseyder%20-%20heater.mp3,chiasseyder heater,,,1.31
04_Ynsaghey,7105,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/clag%20-%20clock.mp3,clag clock,,,1.02
04_Ynsaghey,7109,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/claare%20-%20record.mp3,claare record,,,0.94
04_Ynsaghey,7113,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/clooisag%20-%20pillow.mp3,clooisag pillow,,,1.2
04_Ynsaghey,7114,learn_manx_app_files,Feer vie Very good,,,1.29
04_Ynsaghey,7117,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/cochaslys-soilshey%20-%20photograph.mp3,cochaslys-soilshey photograph,,,2.38
04_Ynsaghey,7121,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/cressad%20-%20lamp.mp3,cressad lamp,,,0.97
04_Ynsaghey,7125,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/cubbyrt%20-%20cupboard.mp3,cubbyrt cupboard,,,0.94
04_Ynsaghey,7129,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/dhull%20-%20plug.mp3,dhull plug,,,1.04
04_Ynsaghey,7133,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/doalan-slat%20-%20blind.mp3,doalan-slat blind,,,1.25
04_Ynsaghey,7137,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/faastguin%20-%20sponge.mp3,faastguin sponge,,,1.15
04_Ynsaghey,7141,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/jalloo%20-%20picture.mp3,jalloo picture,,,0.89
04_Ynsaghey,7145,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/kere%20-%20comb.mp3,kere comb,,,1.12
04_Ynsaghey,7149,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/kishtagan%20-%20chest%20of%20drawers.mp3,kishtagan chest of drawers,,,1.36
04_Ynsaghey,7153,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/kishteig%20hayrn%20-%20drawer.mp3,kishteig hayrn drawer,,,1.8
04_Ynsaghey,7157,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/kishtey%20argid%20-%20money%20box.mp3,kishtey argid money box,,,1.57
04_Ynsaghey,7161,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/lhiabbee%20-%20bed.mp3,lhiabbee bed,,,1.04
04_Ynsaghey,7165,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/ollan-cadee%20-%20cotton%20wool.mp3,ollan-cadee cotton wool,,,1.31
04_Ynsaghey,7169,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/pabyrvoallley%20-%20wallpaper.mp3,pabyrvoallley wallpaper,,,1.41
04_Ynsaghey,7173,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/press%20eaddee%20-%20wardrobe.mp3,press eaddee wardrobe,,,1.23
04_Ynsaghey,7177,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/scudlagh%20-%20luggage.mp3,scudlagh luggage,,,1.07
04_Ynsaghey,7181,https://www.learnmanx.com/media/dictionary%20-%20bed%20room/shamraig%20-%20camera.mp3,shamraig camera,,,1.41
