"sheese gys y diunid wooar [va] kiaddit daue,","down to the great abyss that was formed for them,"
nyn dappey voue! fooar ad ad hene ayns aile,aghast! they found themselves in fire
"va lostey dowil, agh gyn ceau soiljey cainle.","that burned cruelly, without casting the light of a candle."
"Son aile dy vrimstone, ga t’eh lostey dowil,","For fire of brimstone, although it cruelly burns,"
"cha vel fordrail mooar soiljey da ny jouyil,","does not afford great light to the devils,"
"agh myr falleays beg, dy chur dauesyn fys","but just a small glimpse, to let them know"
"cre’n stayd treih, boght, as piantagh t’ad ayn nish,","what a dismal, wretched, and painful state they are now in,"
"shaghey v’ad roïe; ayns shee as eunys bra,","in comparison with what they had before, in peace and eternal delight,"
"mysh stoyl ny gloyr, kiaulleeaght Alleluja.","around the throne of glory, singing Hallelujah."
"Mysh jerrey fouyr, my hug shiu tastey da,","If you have observed, around the end of autumn,"
"biljyn ny keyllagh stripit jeh nyn mlaa,","trees of the woods stripped of their blossoms,"
yn foyn ta heese foue as mygeayrt-y-moo,the green-sward below them and around them
"scart lesh y duilley chreen ta sheebit voue,","scattered with the withered leaves blown off them,"
ny myr y coau faase fasnit veih’n laare-vooie,or like the flimsy chaff winnowed from the threshing floor
"getlagh ersooyl, yn grine faagit ny yeï;","flying away, the grain left behind;"
myr shen va ainlyn scart er baare y tooilley,in this way angels were scattered on the surface of the deluge
"dy vrimstone lheit, ad hene ’s nyn armyn ooilley,","of molten brimstone, themselves and all their weapons,"
"Satan nyn vud oc, troggal seose e chione,","Satan among them, lifting up his head,"
"myr Leviathan, moostey baare y toan.","like Leviathan, stirring atop the wave."
"Hug eh my-ner, ny lhie er-gerrey da","He beheld, lying close by him"
"Beelzebub mooar, yn prince by-niassey va","great Beelzebub, the prince who was closest"
"da hene ayns reill, fo’n Ooilley-niartal ree,","to himself in supremacy, under the Almighty king,"
’skyn millaghyn thousane dy flaunyssee.,above millions of thousands of celestial beings.
"Lesh cree mooaralagh, as lesh aigney lane","With an arrogant heart, and with a mind full"
"dy olkys dowil as noidys noi e hiarn,","of evil wickedness and enmity against his lord,"
"rish yn ard-ainle shoh vrish eh e choraa,","to this archangel he broke his silence,"
as brynnagh foalsey myr shoh ren eh gra:,"uttering deceitful flattery, thus:"
"‘Nee shoh’n zeraph v’ayns gloyr as pooar soilshean,","‘Is this the seraph that shone in glory and power,"
ayns aallid neesht ’skyn millaghyn thousane?,in beauty too above millions of thousands?
"O cre’n caghlaa, cre’n lhiaggey t’eh er gheddyn!","O what a change, what a fall he has suffered!"
"E choayl, e phian ry akin ayns e eddin!","His loss, his pain, visible in his face!"
"Keayrt va dty chree, dty phooar, as dty hreishteil","Once your heart, your power, and your hope were"
"dooie joinit hums, dy chosney dou’n chlat-reill.","rightly joined to me, to win for me the sceptre."
Nish joinit ta shin ayns yn un phrussoon,Now we are joined in one and the same prison
"as dungeon doo, gyn jerkal rish pardoon.","and black dungeon, without hope of forgiveness."
"Foast, te ny share dooin Niurin ’ghoaill myr reih","Still, it is better for us to make the choice of Hell"
"na sleaghtagh sheese dy chaayney myghin veih,","than to abase ourselves to wail for mercy from him,"
dy ghliooney huggey as dy hirrey shee.,to kneel to him and to entreat for peace.
Te onnor scoyrn lhiams ’yeeaghyn dasyn choiee.,I judge it scornful honour to look to him for ever.
"Veagh shen dou angaish, scammylt, ’s brishey cree,","For me, that would be anguish, infamy, and grief,"
smoo na’n charbaa t’aym veih ny flaunyssee.,greater than my excommunication from the celestial beings.
Fakin nagh vod yn dooghys ain fajeil,Since our nature makes us immortal
"gyn choiee ve bio, lhig dooin gyn meehreishteil,","for ever, let us not despair,"
"lesh keeayll ny crout, lesh niart, miol, ny tranlaase,","with cleverness or craft, with might, inducement, or coercion,"
nagh voyms cooilleen ver da my ghoanlys aash.,of my getting revenge that will give my malice rest.
"Er y chooid smassey ta rouyr fys ain nish,","We know too much about the worst part now,"
"as surranse shegin, cha vod mayd jannoo rish.","and suffer we must, we cannot help that."
"As ga ta shin fo pooar y noid ayns shoh,","And although we are under the enemy’s power here,"
ayns noidys vees mayd da choud as t’eh bio.’,we will be in enmity with him as long as he lives.’
