Audio_ID,Speaker,Manx,English
Disk 1 Track 3,H. Boyde,"as ren yn fer elley gra, bee shin foast jannoo thie son dy cur yn muckyn ayn,","and the other fellow did say, we will still make a house to put the pigs in,"
Disk 1 Track 3,H. Boyde,"ayns yn magher shen, as va’n gheay sheidey,","in the field there, and the wind was blowing,"
Disk 1 Track 3,H. Boyde,"as cha row eh son cur yn muckyn ayns yn, ayns yn boayl shen,",and he was not for putting the pigs in that place
Disk 1 Track 3,H. Boyde,as ren yn dooinney elley gra nee shin foast cur yn muckyn har…,and the other man did say we will still put the pigs in
Disk 1 Track 3,H. Boyde,"yn traa nee’n gheay caghlaa, as ren shin cur yn muckyn","till the wind changes, and we did put the pigs"
Disk 1 Track 3,H. Boyde,"harrish yn traa ren yn gheay caghlaa, as v’ad ayn shen ooilley yn sourey,","in the time the wind changed, and they were there all the summer"
Disk 1 Track 3,H. Boyde,"v’ad ayns yn magher shen, as thie v’ad cadley goll ayns thie beg va,","they were in that field, and the house they were sleeping in was a little house,"
Disk 1 Track 3,H. Boyde,va jeant ain son yn muckyn.,which was made at us for the pigs.
Disk 1 Track 3,T. Braide,Row shiu rieau ayns ny magheryn soie praaseyn?,Were you ever in the fields setting potatoes?
Disk 1 Track 3,H. Boyde,"Aw, va mee soie praaseyn dy liooar, soiet ec mish, as ta mee mie son soie praaseyn,","Aw, I was setting potatoes enough, lots set at me, I was good for setting potatoes,"
Disk 1 Track 3,H. Boyde,as va ram jeh’n obbyr shen jeant ec mish.,and there was plenty of that work done at me.
Disk 1 Track 3,T. Braide,"Oh, ta shen obbyr creoi.","Oh, that is hard work."
Disk 1 Track 3,H. Boyde,"Aw, t’eh obbyr creoi, cha row eh obbyr feer mie edyr, ta sleih laccal,","Aw, it is hard work, it is not very good (pleasant) work at all, people need,"
Disk 1 Track 3,H. Boyde,"ta sleih laccal feallagh aegey nish dy soie praaseyn,",people need young folk now to set potatoes.
Disk 1 Track 3,H. Boyde,Cha nel eh feer mie son shenn sleih dy goll dy soie praaseyn nish.,It is not very good for old people to go to set potatoes now.
Disk 1 Track 3,H. Boyde,t’eh bunnys traa dy faagail eh son deiney aegey.,It is nearly time to leave it for young men that work.
Disk 1 Track 3,T. Braide,"Oh, ta shen kiart.","Oh, that is right."
Disk 1 Track 3,H. Boyde,"Yn, yn obbyr. Son deiney aegey.","The, the work. For young men."
Disk 1 Track 3,T. Braide,As va shiuish thanney turmaryn neesht.,And you were thinning turnips too.
Disk 1 Track 3,H. Boyde,"Va mee, va mee thanney turmaryn dy liooar, ayns yn magher, as va magher mooar,","I was, I was thinning turnips enough, in the field, and it was a big field,"
Disk 1 Track 3,H. Boyde,"as va’in thanney turmaryn ayn, as va ceau ooilley yn laa va’in thanney yn magher shen,","and we were thinning turnips, and it was raining all the day we were thinning that field,"
Disk 1 Track 3,H. Boyde,"ooilley yn laa bunnys as va mee my hassoo thanney as cooat vooar orrym,","all the day nearly, and I was standing thinning and a big coat on me,"
Disk 1 Track 3,H. Boyde,"cooat vooar mullagh er my dreeym, cha row my laueyn ayns yn, ayns yn cooat edyr,","big top coat on my back, my hands were not in, in the coat at all,"
Disk 1 Track 3,H. Boyde,"ve mullagh yn geayltyn, mullagh my dreeym, as va ceau ooilley yn laa bunnys.","it was on top of my shoulders, top of my back, and it was raining all day nearly."
Disk 1 Track 3,H. Boyde,"Va’in thanney yn magher shen, as ren shin goll tra va’n magher shen jeant,","We were thinning that field, and we did go when that field was done,"
Disk 1 Track 3,H. Boyde,"ren shin goll ayns magher elley,","we did go to another field,"
Disk 1 Track 3,H. Boyde,"as ren shin goll fo raad dy obbragh dy thanney yn magher shen,","and we did get under way with the work of thinning that field,"
Disk 1 Track 3,H. Boyde,as cha ren shin fakin frass erbee jeh fliaghey ooilley yn traa va’in jannoo yn magher shen.,and we did not see a shower at all of rain all the time we were doing that field.
Disk 1 Track 3,T. Braide,"Cha row, row monney joan goll mygeayrt?","There was not, was there much dust going around?"
Disk 1 Track 3,H. Boyde,Va chiass ayn as ve agglagh. Va ooilley yn fliaghey ersooyl yn traa shen.,"There was heat in, and it was awful. All the rain was away that time."
Disk 1 Track 4,T. Braide,..clashtyn oo ooilley ayns Gailck.,..hear you all in Manx.
Disk 1 Track 4,H. Boyde,Ooilley ayns Gailck?,All in Manx?
Disk 1 Track 4,T. Braide,"Ta, c’red t’ou coontey jeh’n emshyr nish?","Yes, what are you thinking of the weather now?"
Disk 1 Track 4,H. Boyde,"Aw, ta.., cha nel eh jeeaghyn feer olk edyr.","Aw, yes.., it’s not looking too bad at all."
Disk 1 Track 4,T. Braide,Vel shin goll dy gheddyn tooilley fliaghey?,Are we going to get more rain?
Disk 1 Track 4,H. Boyde,"Aw cha s’ayms, t’eh jeeaghyn, cha nel eh jeeaghyn monney son fliaghey yn oie shoh nish edyr, cha nel.","Aw, I don’t know, it is looking, it is not looking much like rain this night now at all, it’s not."
Disk 1 Track 4,T. Braide,Cha nel bodjallyn mygeayrt.,No clouds about.
Disk 1 Track 4,H. Boyde,Cha nel monney bodjallyn ayns yn aer.,Not many clouds in the sky.
Disk 1 Track 4,T. Braide,Cha nel.,No.
Disk 1 Track 4,H. Boyde,"Cha nel mee fakin monney, va’n aer ooilley ayns frough, v’eh ooilley ayns frough laghyn er y shiaghtyn.","I am not seeing many, the sky was all in mist, it was all in mist these days on the week."
Disk 1 Track 4,T. Braide,"Ta, ta, ta mee toiggal.","It is, I understand."
Disk 1 Track 4,H. Boyde,"Ta, ooilley ayns frough.",It is all in mist.
Disk 1 Track 4,T. Braide,Row monney grian mooie er y chiaghtyn?,Was there much sun out on the week?
Disk 1 Track 4,H. Boyde,"Aw cha row, va paart dy laghyn as cha row monney grian ayn, ayns yn moghree edyr.","Aw, was not, there were some days and there was not much sun in, in the morning though."
Disk 1 Track 4,H. Boyde,"Va’n grian cheet mooie ec yn - bunnys ec y shey.. kiare.. er.. queig er y clag, ta’n grian cheet mooie yn traa shen.","The sun is coming out at almost at four or five on the clock, the sun is coming out that time."
Disk 1 Track 4,T. Braide,Ta mish toiggal.,I understand.
Disk 1 Track 4,H. Boyde,Shen yn traa v’ee cheet mooie.,That is the time she was coming out.
Disk 1 Track 4,T. Braide,Row shiu ec y bayr monney er y chiaghtyn.,Were you on the road much on the week? (walking)
Disk 1 Track 4,H. Boyde,Cha row mee mooie monney.,I was not out much.
Disk 1 Track 4,T. Braide,Cha row.,Were you not?
Disk 1 Track 4,H. Boyde,"Cha row, cha row eh feer mie dy goll mooie, v’eh feayr, v’eh feayr.","Was not, it was not very good to go out, it was cold, it was cold."
Disk 1 Track 4,T. Braide,Row peiagh erbee ayn shen lesh shilley ort?,Was anyone there with a sight on you? (visiting you).
Disk 1 Track 4,H. Boyde,"Er.. er y shiaghtyn, cha row.",Er.. on the week? No.
Disk 1 Track 4,T. Braide,Cha row monney sleih cheet lesh shilley ort eisht?,There were not many people coming for a sight on you then?
Disk 1 Track 4,H. Boyde,Cha nel mee fakin yn inneen woish Purt ny h’Inshey edyr.,I have not seen the girl from Peel either.
Disk 1 Track 4,T. Braide,Nagh vel?,Have not (you)?
Disk 1 Track 4,H. Boyde,Cha nel.,Have not. (no)
Disk 1 Track 4,T. Braide,Ta mish er chlashtyn t’ee goll ersooyl gys Nerin yn sourey.,I have heard she is going away to Ireland this summer.
Disk 1 Track 4,H. Boyde,Goll dys Nerin? yn ‘neen woish Purt ny h’Inshey?,Going to Ireland? the girl from Peel?
Disk 1 Track 4,T. Braide,T’ee goll harrish y cheayn marish “Kione Jiarg”... t’ee laccal goll harrish y cheayn lesh “Kione Jiarg”.,She is going over the sea with “Red Head” (Leslie Quirk)... she wants to go over the sea with “Red Head”.
Disk 1 Track 4,H. Boyde,Kione Jiarg!,Red Head!
Disk 1 Track 4,T. Braide,"Ta, Leslie Quirk.","Yes, Leslie Quirk."
Disk 1 Track 4,H. Boyde,"Aw Quirk, aw, shen ta mee toiggal nish.","Aw Quirk, aw, that I understand now."
Disk 1 Track 4,T. Braide,"Cha row Clarke ayns shoh, ec y, ec y boayl shen lesh shilley ort.","Clarke was not here, at this place to see you?"
Disk 1 Track 4,H. Boyde,Quoi?,Who?
Disk 1 Track 4,T. Braide,"Clarke, Chalse y Clarke.","Clarke, Charles Clarke (From Pulrose)"
Disk 1 Track 4,H. Boyde,"Cha ren mee fakin eh, ta laa, ta, cha row eh ayn shoh son tammylt.","I am not seeing him, it is days, yes, he was not here for a while."
Disk 1 Track 4,T. Braide,"G’insh dou yn skeeal mygeayrt ny shenn feallagh ayns Balley laagh, g’insh dou yn skeeal","Tell me the story about the old people in Ballaugh, tell to me the story"
Disk 1 Track 4,H. Boyde,"Aw v’eh geddyn muckyn, v’eh geddyn daa muckyn ayns Rhumsaa","Oh! he was getting pigs, he was getting two pigs in Ramsey"
Disk 1 Track 5,T. Braide,"Ta shin a... Ta shin ersooyl nish, goll er.","We are a... We are away now, go on."
Disk 1 Track 5,H. Boyde,C’red t’ou gra?,What are you saying?
Disk 1 Track 5,T. Braide,Goll er lesh skeeal. Kys mygeayrt dty naunt as y thie eck?,Go on with a story. How about your aunt and the house at her?
Disk 1 Track 5,H. Boyde,"Oh! Ayns yn.. jannoo yn lhiabbee, .. er..","Oh! In the.. making the bed, .. er.."
Disk 1 Track 5,H. Boyde,"ren eh cheet thie, as v’eh will I shout?",he did come home and he was…
Disk 1 Track 5,T. Braide,"Ta, goll er.","Yes, go on."
Disk 1 Track 5,H. Boyde,"V’eh ec Balley laagh as v’eh, ren eh cheet thie as va paart dy jough echey","He was at Ballaugh and he was, he did come home and there was some drink at him"
Disk 1 Track 5,H. Boyde,"as ren eh gra, my jishags, my yishags .........","and he did say, my father, my father ........."
Disk 1 Track 5,T. Braide,Ta shen aitt.,That was odd.
Disk 1 Track 5,H. Boyde,Shen yn red ren eh gra.,That (is) the thing he said.
Disk 1 Track 5,T. Braide,"Va shen mie dy liooar, kys mygeayrt yn dooinney ayns yn rullick, yn dooinney as y ven ayns yn rullick.","That was good enough, how about the man in the graveyard, the man and the woman in the churchyard."
Disk 1 Track 5,H. Boyde,Dooinney as y ven ayns?,Man and the woman in?
Disk 1 Track 5,T. Braide,"Ayns yn rullick jeeaghyn er yn oaie, ta clagh wooar aynshoh, as ta clagh vooar aynshen.","In the graveyard looking on the grave, there’s a big stone here and a big stone there."
Disk 1 Track 5,H. Boyde,"Oh! Va ben ennagh ayns Balley laagh as v’ee poosit dys shenn fer,","Oh! there was some woman in Ballaugh and she was married to an old fellow,"
Disk 1 Track 5,H. Boyde,"as v’eh shenn, yn traa ren she geddyn poosit, yn traa ren yn fer shen geddyn poosit dys yn ben shen,","and he was old the time she got married, the time that fellow got married to that woman,"
Disk 1 Track 5,H. Boyde,"as v’ee jannoo poddash, son cha row eh geddyn bainney erbee, v’ee goaill ushtey marish yn poddash.","and she was making porridge, for he was not getting milk at all, she was putting water with the porridge."
Disk 1 Track 5,T. Braide,"Oh, yn drogh spyrryd.","Oh, the bad spirit."
Disk 1 Track 5,H. Boyde,"V’ee goaill yn ushtey marish yn poddash, as ren eh geddyn baase as va ram argid echey, ram argid echey,","She was putting water with the porridge, and he did die, and there was lots of money at him, lots of money at him,"
Disk 1 Track 5,H. Boyde,"as ren fer cheet thie woish Australia, as ren she geddyn poosit dys yn dooinney shen,","and a chap came home from Australia and she did get married to that man,"
Disk 1 Track 5,H. Boyde,as ren yn dooinney shen geddyn ooilley yn argid va ec yn... va jeant ec yn shenn dooinney,and that man did get all the money that was at the... that was made at the old man
Disk 1 Track 5,H. Boyde,"as v’eh shooyl er y, er y traie chaglym fuygh er y traie, er y traie, as ren yn shuyr echey geddyn baase,","and he was walking on the, on the shore gathering wood on the shore, on the shore, and the sister at him did die"
Disk 1 Track 5,H. Boyde,as ren eh jannoo coffin marish yn fuygh v’eh chaglym er y traie. She. Shen eh.,and he did make a coffin with the wood he was gathering on the shore. Yes. That’s it.
Disk 1 Track 5,T. Braide,Va shen aitt dy liooar.,That was odd enough.
Disk 1 Track 5,H. Boyde,"As v’ee ayns y rullick laa ennagh as ren shenn dooinney cheet stiagh ayns yn rullick dy fakin yn oaie yn ben echey,",And she was in the graveyard one day and an old man came in into the graveyard to see the grave of the woman at him (wife)
Disk 1 Track 5,H. Boyde,"as ren eh fakin yn ben shen ec yn oaie ec yn dooinney v’ee poosit rish reesht,","and he did see that woman at the grave at the man she was married to again,"
Disk 1 Track 5,H. Boyde,"as ren eh gra, c’red t’ou jannoo ayns shoh?","and he did say, what are you doing here?"
Disk 1 Track 5,H. Boyde,"reh eh gra, gow royd sheese, he said, dys yn shenn keeill as cur clagh er yn dooinney ren oo geddyn yn argid woish.","he did say, go you down to the old church and put a stone on the man you did get the money from."
Disk 1 Track 5,T. Braide,Ren eh gra shen?,Did he say that?
Disk 1 Track 5,H. Boyde,"Yes, yes. As ren eh, v’eh ayns y.. ec yn oaie as ren eh, va reddyn soiet ooilley er yn oaie","Yes, yes. And did he, he was in the.. at the grave and he did, things were set all on the grave"
Disk 1 Track 5,H. Boyde,"as v’eh cur yn laue echey, nane aynshen nane aynshoh, as nane aynshen, v’eh gra...... Yes..","and he was putting the hand at him, one there one here, and one there, he was saying......"
Disk 1 Track 6,J. W. Radcliffe,Va mee g’insh da mychione shen jea.,I was telling him about that yesterday.
Disk 1 Track 6,J. W. Radcliffe,Va mee g’insh da mychione shen jea.,I was telling him about that yesterday.
Disk 1 Track 6,J. W. Radcliffe,And he had a rhyme... myr ooh ta mish dy jarroo.,And he had a rhyme... like an egg I am I indeed.
Disk 1 Track 6,A. Kneale,"Va Juan Goodn as v’eh beaghey shen ayns yn magher.. shen, shen...","There was Juan Goodn and he was living there in that field there, there..."
Disk 1 Track 6,A. Kneale,V’eh beaghey ayns yn magher as v’eh... v’eh fidder as v’eh soie as v’eh... gra...,He was living in the field and he was….he was a weaver and he was sitting and he was….saying….
Disk 1 Track 6,A. Kneale,Myr ooh ta mee dy jarroo,Like an egg am I indeed
Disk 1 Track 6,A. Kneale,Danjeyragh dy ve brisht,In danger to be broken
Disk 1 Track 6,A. Kneale,As goll rish shenn vraagyn,And like old shoes
Disk 1 Track 6,A. Kneale,Va ceauit as ayns corneil,(That) were thrown in a corner
Disk 1 Track 6,A. Kneale,Faagit as treigit,Left and abandoned
Disk 1 Track 6,A. Kneale,As my chorrag ayns my veeal,And my (index) finger in my mouth
Disk 1 Track 6,A. Kneale,As goll rish shenn vraagyn,And like old shoes
Disk 1 Track 6,A. Kneale,Va ceauit ayns corneil.,(That) were thrown in a corner.
Disk 1 Track 6,J. W. Radcliffe,Shen eh.,That’s it.
Disk 1 Track 6,J. W. Radcliffe,Abbyr y skeeal mysh yn fidder... shiuish goll gys yn fidder as v’eh taggloo ayns Gailck.,Say the story about the weaver... you going to the weaver and he was speaking in Manx.
Disk 1 Track 6,A. Kneale,Va mee loayrt rish shenn fidder laa ennagh as ooilley va mee abyl gra va... was.. ‘feer vie... feer vie’.,I was speaking with an old weaver one day and all I was able to say was... ... ‘very good... very good’.
Disk 1 Track 6,A. Kneale,Va mee hoght blein ny nuy blein. ‘C’red t’ou laccal’? he said...,I was eight years or nine years (old). ‘What are you wanting’?...
Disk 1 Track 6,A. Kneale,‘Ta mee laccal’...,‘I am wanting’...
Disk 1 Track 6,A. Kneale,‘Vel shiu laccal ollan’?,‘Are you wanting wool’?
Disk 1 Track 6,A. Kneale,‘Cha nel. Ta mee laccal bluckan... nane bluckan’.,‘No. I am wanting a ball... one ball’.
Disk 1 Track 6,J. W. Radcliffe,"Ah, gow shiu er.","Ah, take you on."
Disk 1 Track 6,J. W. Radcliffe,Ta. T’eh ayns yn lioar.,Yes. It’s in the book.
Disk 1 Track 6,J. W. Radcliffe,"Aw, dy jarroo, ta.","Aw, indeed, yes."
Disk 1 Track 6,A. Kneale,Va’n shenn sleih as v’ad gra...,The old people were and they were saying...
Disk 1 Track 6,A. Kneale,Yn colbagh breck er sthrap,The speckled heifer on a strap (tether)
Disk 1 Track 6,A. Kneale,Ny re ee hene vees souyr,Is it not itself will be comfortable
Disk 1 Track 6,A. Kneale,Yn shenn bock bane goll eig,The old white gelding (nag) is failing
Disk 1 Track 6,A. Kneale,Tayrn yn arroo ‘syn ouyr,Drawing the corn at the harvest
Disk 1 Track 6,A. Kneale,As ben... v’ee gra...,And a woman... she was saying
Disk 1 Track 6,A. Kneale,"Nee poost, as poost dy liooar va shin","It’s married, as married enough were we"
Disk 1 Track 6,A. Kneale,Ta foddey share ny ve poost,It’s far better that to be married
Disk 1 Track 6,A. Kneale,Na’n taggloo smessey ve jin,Than the worst talk being of us
Disk 1 Track 6,A. Kneale,Gown dy linsey-woolsey,A gown of linsee woolsee
Disk 1 Track 6,A. Kneale,As bonnad bane salloon.,And a white shalloon bonnet.
Disk 1 Track 7,A. Kneale,Va shenn Juan Goodn (Gawne) as v’eh baghey ayn magher ain as va shey acyr ayn.,There was old John (Gawne) and he was living in a field of ours and there were six acres in it.
Disk 1 Track 7,A. Kneale,As va’n thie-thooit echey as va coigee-house thooit as va boayl da’n... er.,And there was a thatched house at him and there was a thatched loom house and there was a place for the...
Disk 1 Track 7,A. Kneale,"Rish yn cabbyl beg as yn booa as v’eh fee son baghey, as... v’eh gra, cockacock…and then v’eh gra.","For the little horse and the cow and he was a weaver for a living, and... he was saying ‘cockacock’... he was saying."
Disk 1 Track 7,A. Kneale,Myr ooh ta mee dy jarroo,Like an egg am I indeed
Disk 1 Track 7,A. Kneale,Danjeyragh dy ve brisht,In danger to be broken
Disk 1 Track 7,A. Kneale,As goll rish shenn vraagyn,And like old shoes
Disk 1 Track 7,A. Kneale,Va ceauit as ayns corneil,(That) were thrown and in a corner
Disk 1 Track 7,A. Kneale,Faagit as treigit,Left and abandoned
Disk 1 Track 7,A. Kneale,As my chorrag ayns my veeal,And my (index) finger in my mouth
Disk 1 Track 7,A. Kneale,As goll rish shenn vraagyn,And like old shoes
Disk 1 Track 7,A. Kneale,Va ceauit as ayns corneil,(That) were thrown and in a corner
Disk 1 Track 7,J. W. Radcliffe,As nish mychione ‘colbagh breck er sthrap’.,And now about ‘a speckled heifer on a strap’.
Disk 1 Track 7,A. Kneale,As va fer elley as v’eh gra.,And there was another one and he was saying.
Disk 1 Track 7,A. Kneale,Yn colbagh breck er sthrap,The speckled heifer on a strap (tether).
Disk 1 Track 7,A. Kneale,Ny re ee hene dy souyr,Is not itself comfortable.
Disk 1 Track 7,A. Kneale,Yn shenn bock bane goll eig,The old white gelding is failing.
Disk 1 Track 7,A. Kneale,Tayrn yn arroo ‘syn ouyr,Drawing the corn in the harvest.
Disk 1 Track 7,A. Kneale,Nee poost as poost dy liooar va shin,It’s married and married enough were we.
Disk 1 Track 7,A. Kneale,Ta foddey share ve poost,It’s far better to be married.
Disk 1 Track 7,A. Kneale,Na’n taggloo smessey va jin,Than the worst talk was of us.
Disk 1 Track 7,A. Kneale,Va gown dy linsey- woolsey,There was a gown of linsee-woolsee.
Disk 1 Track 7,A. Kneale,As bonnad bane salloon,And a white shalloon bonnet.
Disk 1 Track 7,A. Kneale,As quoif ass shenn lieen skeddan,And a quoif of old herring net.
Disk 1 Track 7,A. Kneale,As rybbanyn spynneigyn shuin.,And ribbons of rush peelings.
Disk 1 Track 7,J. W. Radcliffe,As mysh ny ferrishyn...,And about the fairies...
Disk 1 Track 7,A. Kneale,"As va shenn ven as v’ee baghey ayn... car y... v’ee baghey, baghey ayns magher ayns yn bayr shoh.","And there was an old woman and she was living in... during the... she was living, living in a field in this road."
Disk 1 Track 7,A. Kneale,As v’ee gra da’n mac va shooyl g’eiyrt er ’neenyn dy chooilley oie as v’ee gra da.,And she was saying to the son (who) was walking following on girls every night and she was saying to him...
Disk 1 Track 7,A. Kneale,"‘C’raad v’ou noght, Billy bhoy, Billy, Billy boght?’","‘Where were you tonight, Billy Boy, Billy, poor Billy?’"
Disk 1 Track 7,A. Kneale,"When v’eh cheet thie. ‘Er yn chaardee, mummig.’","When he was coming home. ‘On the smithy, mother.’"
Disk 1 Track 7,A. Kneale,"‘Caardee, caardee, dy chooilley ’n oie, Billy boght, v’eh briaght cheet er y chaardee shoh foast.","‘Smithy, smithy, every night, poor Billy, he was asking to come on this smithy still."
Disk 1 Track 7,A. Kneale,"Gow dty arran as bainney, gow dty padjer as gow dy lhie, Billy boght.","Take your bread and milk, say your prayer and go to bed, poor Billy."
Disk 1 Track 7,J. W. Radcliffe,C’red va shen mysh yn dooinney?... Insh dooin yn skeeal shen. Trooid aynshoh...,What was that about the man?... Tell us that story. Come here.
Disk 1 Track 7,A. Kneale,"Aw, va dooinney as v’eh goll dys yn thie-oast as v’eh goaill yn gless dy yough,","Aw, there was a man and he was going to the inn and he was taking the glass of drink,"
Disk 1 Track 7,A. Kneale,As v’eh goaill yn gless ayns yn daa laue anyway.,And he was taking the glass in his two hands anyway.
Disk 1 Track 7,A. Kneale,"‘Trooid aynshoh, corp slaynt, ta shilley jeh’n eddin ayd cur gerjys ayns my chree.’","‘Come here, a healthy body, the sight of your face puts joy in my heart.’"
Disk 1 Track 7,J. W. Radcliffe,Shen mie.,That’s good.
Disk 1 Track 7,A. Kneale,He was an old Irishman that. That was true enough.,
Disk 1 Track 7,J. W. Radcliffe,"Nod oo g’insh dooin mychione yn shenn dooinney va gra, ‘Cha jeanym dy bragh g’ee poddash pishyragh reesht’...","Can you tell us about the old man (who) was saying, ‘I will never eat peas porridge again’..."
Disk 1 Track 7,A. Kneale,"Aw, va daa ’neenyn aegey as daa deiney aegey as v’ad sooree.","Aw, there were two young girls and two young men and they were courting."
Disk 1 Track 7,A. Kneale,"Nane jeh’n deiney as v’eh geddyn g’accrys as dooyrt eh, ‘Ta mee goll dy gheddyn red ennagh dy ee’,","One of the men and he was getting hungry and he said, ‘I’m going to get something to eat’,"
Disk 1 Track 7,A. Kneale,"As dooyrt yn fer elley... ‘cur bit, cur bit dou dy mee’....","And the other one said... ‘give a bit, give a bit of food to me’...."
Disk 1 Track 7,A. Kneale,Vel oo cheet? Ren eh goll trooid as ren eh cur... gheddyn pot dy poddash pishyragh.........,Are you coming? He did go through and he did give... get a pot of peas porridge.........
Disk 1 Track 8,A. Kneale,"Va daa ben aegey, as v’ad sooree, soie sooree, as nane jeh’n deiney aegey,","There were two young women, and they were courting, sitting courting, and one of the young men,"
Disk 1 Track 8,A. Kneale,"As v’eh geddyn g’accrys, as ren eh goll dy jeeaghyn dy geddyn bit dy vee,","Was getting hungry, and he did go to look to get a bit of food,"
Disk 1 Track 8,A. Kneale,As ooilley v’eh abyl dy geddyn as pot dy poddash pishyragh.,And all he was able to get was a pot of peas porridge.
Disk 1 Track 8,A. Kneale,"As v’eh gee eh gollrish jyst yn ’amman,",And he was eating it like a dish...
Disk 1 Track 8,A. Kneale,"As v’eh goaill then, jyst lane da’n fer elley, as ren eh jarrood yn raad,","And he was then taking a bowl full to the other fellow, and he did forget the way,"
Disk 1 Track 8,A. Kneale,"As ren eh goll da’n raad va’n Mainshter as yn Ben-ainshter cadley,","And he did go to where the Master and Mistress were sleeping,"
Disk 1 Track 8,A. Kneale,"‘Shoh boy, gow shoh’, v’eh gra, as cha row veg cheet, ‘Shoh, gow shoh’,","‘Here boy, take this,’ he was saying, and there was nothing coming, ‘This, take this,’"
Disk 1 Track 8,A. Kneale,"As ren eh troggey yn curlead, curlead, as threw yn poddash pishyragh er y Ven-ainshter.","And he did lift the quilt, quilt, cover and threw the peas porridge on the Mistress."
Disk 1 Track 8,A. Kneale,"‘Juan’, t’ee gra, ‘T’eh moghree, t’eh traa geddyn seose, irree boy, irree boy’.","‘John,’ she was saying ‘It is morning, it’s time to get up, rise boy, rise boy.’"
Disk 1 Track 8,A. Kneale,"Well ren Juan geddyn irree ‘Aw! Chiarn. Aw, My Yee, Peggy’, ren eh gra ‘T’ou er keck ‘sy lhiabbee’!","Well John did get up, ‘Aw! Lord. Aw, My God, Peggy,’ he did say ‘You have shit in the bed!’"
